file_id,,,
,200,total_fractional_descent,uint8
,208,avg_core_temperature,uint16
,209,min_core_temperature,uint16
,210,max_core_temperature,uint16
lap,,,
,254,message_index,message_index
,253,timestamp,date_time
,0,event,event
,1,event_type,event_type
,2,start_time,date_time
,3,start_position_lat,sint32
,4,start_position_long,sint32
,5,end_position_lat,sint32
,6,end_position_long,sint32
,7,total_elapsed_time,uint32
,8,total_timer_time,uint32
,9,total_distance,uint32
,10,total_cycles,uint32
,,total_strides,uint32
,,total_strokes,uint32
,11,total_calories,uint16
,12,total_fat_calories,uint16
,13,avg_speed,uint16
,14,max_speed,uint16
,15,avg_heart_rate,uint8
,16,max_heart_rate,uint8
,17,avg_cadence,uint8
,,avg_running_cadence,uint8
,18,max_cadence,uint8
,,max_running_cadence,uint8
,19,avg_power,uint16
,20,max_power,uint16
,21,total_ascent,uint16
,22,total_descent,uint16
,23,intensity,intensity
,24,lap_trigger,lap_trigger
,25,sport,sport
,26,event_group,uint8
,32,num_lengths,uint16
,33,normalized_power,uint16
,34,left_right_balance,left_right_balance_100
,35,first_length_index,uint16
,37,avg_stroke_distance,uint16
,38,swim_stroke,swim_stroke
,39,sub_sport,sub_sport
,40,num_active_lengths,uint16
,41,total_work,uint32
,42,avg_altitude,uint16
,43,max_altitude,uint16
,44,gps_accuracy,uint8
,45,avg_grade,sint16
,46,avg_pos_grade,sint16
,47,avg_neg_grade,sint16
,48,max_pos_grade,sint16
,49,max_neg_grade,sint16
,50,avg_temperature,sint8
,51,max_temperature,sint8
,52,total_moving_time,uint32
,53,avg_pos_vertical_speed,sint16
,54,avg_neg_vertical_speed,sint16
,55,max_pos_vertical_speed,sint16
,56,max_neg_vertical_speed,sint16
,57,time_in_hr_zone,uint32
,58,time_in_speed_zone,uint32
,59,time_in_cadence_zone,uint32
,60,time_in_power_zone,uint32
,61,repetition_num,uint16
,62,min_altitude,uint16
,63,min_heart_rate,uint8
,71,wkt_step_index,message_index
,74,opponent_score,uint16
,75,stroke_count,uint16
,76,zone_count,uint16
,77,avg_vertical_oscillation,uint16
,78,avg_stance_time_percent,uint16
,79,avg_stance_time,uint16
,80,avg_fractional_cadence,uint8
,81,max_fractional_cadence,uint8
,82,total_fractional_cycles,uint8
,83,player_score,uint16
,84,avg_total_hemoglobin_conc,uint16
,85,min_total_hemoglobin_conc,uint16
,86,max_total_hemoglobin_conc,uint16
,87,avg_saturated_hemoglobin_percent,uint16
,88,min_saturated_hemoglobin_percent,uint16
,89,max_saturated_hemoglobin_percent,uint16
,91,avg_left_torque_effectiveness,uint8
,92,avg_right_torque_effectiveness,uint8
,93,avg_left_pedal_smoothness,uint8
,94,avg_right_pedal_smoothness,uint8
,95,avg_combined_pedal_smoothness,uint8
,98,time_standing,uint32
,99,stand_count,uint16
,100,avg_left_pco,sint8
,101,avg_right_pco,sint8
,102,avg_left_power_phase,uint8
,103,avg_left_power_phase_peak,uint8
,104,avg_right_power_phase,uint8
,105,avg_right_power_phase_peak,uint8
,106,avg_power_position,uint16
,107,max_power_position,uint16
,108,avg_cadence_position,uint8
,109,max_cadence_position,uint8
,110,enhanced_avg_speed,uint32
,111,enhanced_max_speed,uint32
,112,enhanced_avg_altitude,uint32
,113,enhanced_min_altitude,uint32
,114,enhanced_max_altitude,uint32
,115,avg_lev_motor_power,uint16
,116,max_lev_motor_power,uint16
,117,lev_battery_consumption,uint8
,118,avg_vertical_ratio,uint16
,119,avg_stance_time_balance,uint16
,120,avg_step_length,uint16
,121,avg_vam,uint16
,149,total_grit,float32
,150,total_flow,float32
,151,jump_count,uint16
,153,avg_grit,float32
,154,avg_flow,float32
,156,total_fractional_ascent,uint8
,157,total_fractional_descent,uint8
,158,avg_core_temperature,uint16
,159,min_core_temperature,uint16
,160,max_core_temperature,uint16
length,,,
,254,message_index,message_index
,253,timestamp,date_time
,0,event,event
,1,event_type,event_type
,2,start_time,date_time
,3,total_elapsed_time,uint32
,4,total_timer_time,uint32
,5,total_strokes,uint16
,6,avg_speed,uint16
,7,swim_stroke,swim_stroke
,9,avg_swimming_cadence,uint8
,10,event_group,uint8
,11,total_calories,uint16
,12,length_type,length_type
,18,player_score,uint16
,19,opponent_score,uint16
,20,stroke_count,uint16
,21,zone_count,uint16
record,,,
,253,timestamp,date_time
,0,position_lat,sint32
,1,position_long,sint32
,2,altitude,uint16
,3,heart_rate,uint8
,4,cadence,uint8
,5,distance,uint32
,6,speed,uint16
,7,power,uint16
,8,compressed_speed_distance,byte
,9,grade,sint16
,10,resistance,uint8
,11,time_from_course,sint32
,12,cycle_length,uint8
,13,temperature,sint8
,17,speed_1s,uint8
,18,cycles,uint8
,19,total_cycles,uint32
,28,compressed_accumulated_power,uint16
,29,accumulated_power,uint32
,30,left_right_balance,left_right_balance
,31,gps_accuracy,uint8
,32,vertical_speed,sint16
,33,calories,uint16
,39,vertical_oscillation,uint16
,40,stance_time_percent,uint16
,41,stance_time,uint16
,42,activity_type,activity_type
,43,left_torque_effectiveness,uint8
,44,right_torque_effectiveness,uint8
,45,left_pedal_smoothness,uint8
,46,right_pedal_smoothness,uint8
,47,combined_pedal_smoothness,uint8
,48,time128,uint8
,49,stroke_type,stroke_type
,50,zone,uint8
,51,ball_speed,uint16
,52,cadence256,uint16
,53,fractional_cadence,uint8
,54,total_hemoglobin_conc,uint16
,55,total_hemoglobin_conc_min,uint16
,56,total_hemoglobin_conc_max,uint16
,57,saturated_hemoglobin_percent,uint16
,58,saturated_hemoglobin_percent_min,uint16
,59,saturated_hemoglobin_percent_max,uint16
,62,device_index,device_index
,67,left_pco,sint8
,68,right_pco,sint8
,69,left_power_phase,uint8
,70,left_power_phase_peak,uint8
,71,right_power_phase,uint8
,72,right_power_phase_peak,uint8
,73,enhanced_speed,uint32
,78,enhanced_altitude,uint32
,81,battery_soc,uint8
,82,motor_power,uint16
,83,vertical_ratio,uint16
,84,stance_time_balance,uint16
,85,step_length,uint16
,91,absolute_pressure,uint32
,92,depth,uint32
,93,next_stop_depth,uint32
,94,next_stop_time,uint32
,95,time_to_surface,uint32
,96,ndl_time,uint32
,97,cns_load,uint8
,98,n2_load,uint16
,114,grit,float32
,115,flow,float32
,117,ebike_travel_range,uint16
,118,ebike_battery_level,uint8
,119,ebike_assist_mode,uint8
,120,ebike_assist_level_percent,uint8
,139,core_temperature,uint16
event,,,
,253,timestamp,date_time
,0,event,event
,1,event_type,event_type
,2,data16,uint16
,3,data,uint32
,,timer_trigger,timer_trigger
,,course_point_index,message_index
,,battery_level,uint16
,,virtual_partner_speed,uint16
,,hr_high_alert,uint8
,,hr_low_alert,uint8
,,speed_high_alert,uint32
,,speed_low_alert,uint32
,,cad_high_alert,uint16
,,cad_low_alert,uint16
,,power_high_alert,uint16
,,power_low_alert,uint16
,,time_duration_alert,uint32
,,distance_duration_alert,uint32
,,calorie_duration_alert,uint32
,,fitness_equipment_state,fitness_equipment_state
,,sport_point,uint32
,,gear_change_data,uint32
,,rider_position,rider_position_type
,,comm_timeout,comm_timeout_type
,,radar_threat_alert,uint32
,4,event_group,uint8
,7,score,uint16
,8,opponent_score,uint16
,9,front_gear_num,uint8z
,10,front_gear,uint8z
,11,rear_gear_num,uint8z
,12,rear_gear,uint8z
,13,device_index,device_index
,21,radar_threat_level_max,radar_threat_level_type
,22,radar_threat_count,uint8
,23,radar_threat_avg_approach_speed,uint8
,24,radar_threat_max_approach_speed,uint8
device_info,,,
,253,timestamp,date_time
,0,device_index,device_index
,1,device_type,uint8
,,antplus_device_type,antplus_device_type
,,ant_device_type,uint8
,2,manufacturer,manufacturer
,3,serial_number,uint32z
,4,product,uint16
,,favero_product,favero_product
,,garmin_product,garmin_product
,5,software_version,uint16
,6,hardware_version,uint8
,7,cum_operating_time,uint32
,10,battery_voltage,uint16
,11,battery_status,battery_status
,18,sensor_position,body_location
,19,descriptor,string
,20,ant_transmission_type,uint8z
,21,ant_device_number,uint16z
,22,ant_network,ant_network
,25,source_type,source_type
,27,product_name,string
,32,battery_level,uint8
device_aux_battery_info,,,
,253,timestamp,date_time
,0,device_index,device_index
,1,battery_voltage,uint16
,2,battery_status,battery_status
,3,battery_identifier,uint8
training_file,,,
,253,timestamp,date_time
,0,type,file
,1,manufacturer,manufacturer
,2,product,uint16
,,favero_product,favero_product
,,garmin_product,garmin_product
,3,serial_number,uint32z
,4,time_created,date_time
weather_conditions,,,
,253,timestamp,date_time
,0,weather_report,weather_report
,1,temperature,sint8
,2,condition,weather_status
,3,wind_direction,uint16
,4,wind_speed,uint16
,5,precipitation_probability,uint8
,6,temperature_feels_like,sint8
,7,relative_humidity,uint8
,8,location,string
,9,observed_at_time,date_time
,10,observed_location_lat,sint32
,11,observed_location_long,sint32
,12,day_of_week,day_of_week
,13,high_temperature,sint8
,14,low_temperature,sint8
weather_alert,,,
,253,timestamp,date_time
,0,report_id,string
,1,issue_time,date_time
,2,expire_time,date_time
,3,severity,weather_severity
,4,type,weather_severe_type
gps_metadata,,,
,253,timestamp,date_time
,0,timestamp_ms,uint16
,1,position_lat,sint32
,2,position_long,sint32
,3,enhanced_altitude,uint32
,4,enhanced_speed,uint32
,5,heading,uint16
,6,utc_timestamp,date_time
,7,velocity,sint16
camera_event,,,
,253,timestamp,date_time
,0,timestamp_ms,uint16
,1,camera_event_type,camera_event_type
,2,camera_file_uuid,string
,3,camera_orientation,camera_orientation_type
gyroscope_data,,,
,253,timestamp,date_time
,0,timestamp_ms,uint16
,1,sample_time_offset,uint16
,2,gyro_x,uint16
,3,gyro_y,uint16
,4,gyro_z,uint16
,5,calibrated_gyro_x,float32
,6,calibrated_gyro_y,float32
,7,calibrated_gyro_z,float32
accelerometer_data,,,
,253,timestamp,date_time
,0,timestamp_ms,uint16
,1,sample_time_offset,uint16
,2,accel_x,uint16
,3,accel_y,uint16
,4,accel_z,uint16
,5,calibrated_accel_x,float32
,6,calibrated_accel_y,float32
,7,calibrated_accel_z,float32
,8,compressed_calibrated_accel_x,sint16
,9,compressed_calibrated_accel_y,sint16
,10,compressed_calibrated_accel_z,sint16
magnetometer_data,,,
,253,timestamp,date_time
,0,timestamp_ms,uint16
,1,sample_time_offset,uint16
,2,mag_x,uint16
,3,mag_y,uint16
,4,mag_z,uint16
,5,calibrated_mag_x,float32
,6,calibrated_mag_y,float32
,7,calibrated_mag_z,float32
barometer_data,,,
,253,timestamp,date_time
,0,timestamp_ms,uint16
,1,sample_time_offset,uint16
,2,baro_pres,uint32
three_d_sensor_calibration,,,
,253,timestamp,date_time
,0,sensor_type,sensor_type
,1,calibration_factor,uint32
,,accel_cal_factor,uint32
,,gyro_cal_factor,uint32
,2,calibration_divisor,uint32
,3,level_shift,uint32
,4,offset_cal,sint32
,5,orientation_matrix,sint32
one_d_sensor_calibration,,,
,253,timestamp,date_time
,0,sensor_type,sensor_type
,1,calibration_factor,uint32
,,baro_cal_factor,uint32
